@RUN EXCODE      TRNO RN CR EDAPS EDAPM B1DAPS B1DAPM B2DAPS B2DAPM B3DAPS B3DAPM B4DAPS B4DAPM B5DAPS B5DAPM B6DAPS B6DAPM B7DAPS B7DAPM B8DAPS B8DAPM B9DAPS B9DAPM B10DPS B10DPM B11DPS B11DPM B12DPS B12DPM B13DPS B13DPM B14DPS B14DPM B15DPS B15DPM B16DPS B16DPM   HWAMS   HWAMM   FWAMS   FWAMM LAIXS LAIXM L#SMS L#SMM BR#SS BR#SM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
   6 UYIB1901CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    8395   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  8286  5845  8286 0.721 0.503   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   7 UYIK1701CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    9350   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  7292  5845  7292 0.721 0.562   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   8 UYIK1801CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    5861   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  6684  5845  6684 0.721 0.467   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   9 UYIK1901CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106   14040   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845 15729  5845 15729 0.721 0.472   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  10 UYKA1801CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    5941   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  7500  5845  7500 0.721 0.442   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  11 UYMO1701CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106   15972   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845 11660  5845 11660 0.721 0.578   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  12 UYMO1801CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    8618   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  8212  5845  8212 0.721 0.512   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  13 UYMO1901CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    6059   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  6891  5845  6891 0.721 0.468   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  14 UYON1801CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    6076   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  3993  5845  3993 0.721 0.603   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  15 UYON1901CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106     -99   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  1906  5845  1906 0.721   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
